title,abstract_snippet,year,venue,citations,influential_citations,doi,url,sources,authors,relevance_score,matched_keywords,reason_included
Correctness is not Faithfulness in Retrieval Augmented Generation Attributions,,2025,International Conference on the Theory of Information Retrieval,11,0,10.1145/3731120.3744592,https://doi.org/10.1145/3731120.3744592,semantic_scholar,Jonas Wallat|Maria Heuss|M. D. Rijke|Avishek Anand,0.75,primary:title:retrieval augmented generation|kw:title:faithfulness,matched 2 term(s); primary_in_title_or_abstract=True; raw_score=6.0
TableRAG: A Retrieval Augmented Generation Framework for Heterogeneous Document Reasoning,"Retrieval-Augmented Generation (RAG) has demonstrated considerable effectiveness in open-domain question answering. However, when applied to heterogeneous documents, comprising both textual and tabular components, existing RAG approaches ex...",2025,Conference on Empirical Methods in Natural Language Processing,21,1,10.18653/v1/2025.emnlp-main.710,https://doi.org/10.18653/v1/2025.emnlp-main.710,semantic_scholar,Xiaohan Yu|Pu Jian|Chong Chen,0.5,primary:title:retrieval augmented generation,matched 1 term(s); primary_in_title_or_abstract=True; raw_score=4.0
Visual-RAG: Benchmarking Text-to-Image Retrieval Augmented Generation for Visual Knowledge Intensive Queries,Retrieval-augmented generation (RAG) is a paradigm that augments large language models (LLMs) with external knowledge to tackle knowledge-intensive question answering. While several benchmarks evaluate Multimodal LLMs (MLLMs) under Multimod...,2025,arXiv.org,15,1,10.48550/arXiv.2502.16636,https://doi.org/10.48550/arXiv.2502.16636,semantic_scholar,Yin Wu|Quanyu Long|Jing Li|Jianfei Yu|Wenya Wang,0.5,primary:title:retrieval augmented generation,matched 1 term(s); primary_in_title_or_abstract=True; raw_score=4.0
Prospects of Retrieval Augmented Generation (RAG) for Academic Library Search and Retrieval,,2025,,2,0,10.2139/ssrn.5295044,https://doi.org/10.2139/ssrn.5295044,crossref,Brady Lund,0.5,primary:title:retrieval augmented generation,matched 1 term(s); primary_in_title_or_abstract=True; raw_score=4.0
Retrieval Augmented Generation (RAG) Model,,2025,International Journal of Research Publication and Reviews,2,0,10.55248/gengpi.6.0125.0635,https://doi.org/10.55248/gengpi.6.0125.0635,crossref,Ankit Mishra|Aniket Gupta,0.5,primary:title:retrieval augmented generation,matched 1 term(s); primary_in_title_or_abstract=True; raw_score=4.0
Retrieval Augmented Generation for HPC Code Optimization,,2025,,0,0,10.31274/cc-20260223-58,https://doi.org/10.31274/cc-20260223-58,crossref,Shalini Mutyala,0.5,primary:title:retrieval augmented generation,matched 1 term(s); primary_in_title_or_abstract=True; raw_score=4.0
Understanding Retrieval Pitfalls: Challenges Faced by Retrieval Augmented Generation (RAG) models,"<jats:p>Introduction Large language models (LLMs) like GPT-4, the engine of products like ChatGPT, have taken centre stage in recent years due to their astonishing capabilities. Yet, they are far from perfect. Many of us have since learnt —...",2024,,0,0,10.59350/xcq3s-jvk04,https://doi.org/10.59350/xcq3s-jvk04,crossref,Amanda Kau,0.5,primary:title:retrieval augmented generation,matched 1 term(s); primary_in_title_or_abstract=True; raw_score=4.0
Protótipo de Pesquisa Documental para a Polícia Militar do Paraná com Retrieval Augmented Generation e Gemini AI em Ambiente Dockerizado,<jats:p>Este trabalho apresenta o desenvolvimento de um protótipo de pesquisa documental para as diretrizes e doutrinas da Polícia Militar do Paraná (PMPR) utilizando a estratégia Retrieval Augmented Generation (RAG) e o modelo de linguagem...,2024,RCMOS - Revista Científica Multidisciplinar O Saber,0,0,10.51473/rcmos.v1i2.2024.736,https://doi.org/10.51473/rcmos.v1i2.2024.736,crossref,Cleiton Giacomelli da Silva,0.5,primary:title:retrieval augmented generation,matched 1 term(s); primary_in_title_or_abstract=True; raw_score=4.0
Comparative Performance of Retrieval Augmented Generation Tourism Chatbots,"<jats:p>General Background: The rapid adoption of artificial intelligence in smart tourism has increased the use of contextual chatbots to deliver destination information efficiently. Specific Background: However, tourism chatbots based on ...",2026,Indonesian Journal of Innovation Studies,0,0,10.21070/ijins.v27i1.1836,https://doi.org/10.21070/ijins.v27i1.1836,crossref,Amar Al Farizi|Primandani Arsi|Pungkas Subarkah,0.5,primary:title:retrieval augmented generation,matched 1 term(s); primary_in_title_or_abstract=True; raw_score=4.0
Correctness is not Faithfulness in RAG Attributions,Retrieving relevant context is a common approach to reduce hallucinations and enhance answer reliability. Explicitly citing source documents allows users to verify generated responses and increases trust. Prior work largely evaluates citati...,2024,arXiv.org,12,0,10.48550/arXiv.2412.18004,https://doi.org/10.48550/arXiv.2412.18004,semantic_scholar,Jonas Wallat|Maria Heuss|M. D. Rijke|Avishek Anand,0.3,kw:title:faithfulness|syn:abstract:citation correctness,matched 2 term(s); primary_in_title_or_abstract=False; raw_score=2.4
HAD: HAllucination Detection Language Models Based on a Comprehensive Hallucination Taxonomy,"The increasing reliance on natural language generation (NLG) models, particularly large language models, has raised concerns about the reliability and accuracy of their outputs. A key challenge is hallucination, where models produce plausib...",2025,arXiv.org,0,0,10.48550/arXiv.2510.19318,https://doi.org/10.48550/arXiv.2510.19318,semantic_scholar,Fan Xu|Xinyu Hu|Zhenghan Yu|Li Lin|Xu Zhang|Yang Zhang|Wei Zhou|Jinjie Gu|Xiaojun Wan,0.25,kw:title:hallucination taxonomy,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
From Prerequisites to Predictions: Validating a Geometric Hallucination Taxonomy Through Controlled Induction,"We test whether a geometric hallucination taxonomy -- classifying failures as center-drift (Type~1), wrong-well convergence (Type~2), or coverage gaps (Type~3) -- can distinguish hallucination types through controlled induction in GPT-2. Us...",2026,arXiv.org,0,0,10.48550/arXiv.2603.00307,https://doi.org/10.48550/arXiv.2603.00307,semantic_scholar,Matic Korun,0.25,kw:title:hallucination taxonomy,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
"faithfulness, n.",,2023,Oxford English Dictionary,0,0,10.1093/oed/1055996628,https://doi.org/10.1093/oed/1055996628,crossref,,0.25,kw:title:faithfulness,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
God's Faithfulness and Dementia: Christian Theology in Context,,2023,Still Waters Run Deep,0,0,10.4324/9781003434030-7,https://doi.org/10.4324/9781003434030-7,crossref,Rosalie Evelyn Hudson,0.25,kw:title:faithfulness,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
FAITHFULNESS,,2025,Love's Virtues,0,0,10.2307/jj.26622536.7,https://doi.org/10.2307/jj.26622536.7,crossref,,0.25,kw:title:faithfulness,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
Faithfulness to Faithfulness: The Compass of Spiritual Reading in the Letters of Saint Paul,"<jats:p>This paper is intended for the spiritual reading of St. Paul’s Letter. It investigates the dynamics and movements in the relationship between Divine and human reality. For the Divine reality, it investigates God’s Hesed in the coven...",2024,Scientia - The International Journal on the Liberal Arts,0,0,10.57106/scientia.v13i1.176,https://doi.org/10.57106/scientia.v13i1.176,crossref,Sheldon Tabile,0.25,kw:title:faithfulness,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
The Faithfulness of Pluralism,,2023,,0,0,10.2307/j.ctv2xkjp3k,https://doi.org/10.2307/j.ctv2xkjp3k,crossref,,0.25,kw:title:faithfulness,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
FACET: Measuring Attribution Faithfulness in Multi-Factor LLM Reasoning,"<jats:p>Many decisions require weighing N ≥ 5 different factors simultaneously. When LLMs are deployed in these settings, do they integrate all factors or collapse onto whichever one is most canonical in their training data? We present FACE...",2026,,0,0,10.2139/ssrn.6564479,https://doi.org/10.2139/ssrn.6564479,crossref,Venkateshwar Reddy Jambula,0.25,kw:title:faithfulness,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
God’s faithfulness has never failed,,2025,Christians in the City of Lagos,0,0,10.5040/9781350401259.0021,https://doi.org/10.5040/9781350401259.0021,crossref,,0.25,kw:title:faithfulness,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
”Faithfulness Itself“,"<p> Sandra Harbert Petrulionis, in an essay that critiques Alcott’s own attitudes about social class, examines Hannah Mullet, one of <italic>Little Women’s</italic> most-overlooked characters. Alcott’s narrator, she argues, “renders Hannah ...",2022,Little Women at 150,0,0,10.14325/mississippi/9781496837981.003.0004,https://doi.org/10.14325/mississippi/9781496837981.003.0004,crossref,,0.25,kw:title:faithfulness,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
Post Truth? Facts and Faithfulness,,2024,Consensus,0,0,10.51644/iesk5852,https://doi.org/10.51644/iesk5852,crossref,John Milloy,0.25,kw:title:faithfulness,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
The Faithfulness of Jesus (12:1–13),,2025,Hebrews A Social Identity Commentary,0,0,10.5040/9780567696052.ch-019,https://doi.org/10.5040/9780567696052.ch-019,crossref,,0.25,kw:title:faithfulness,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
Input Prevocalic Faithfulness and Opacity,<jats:p>Positional faithfulness in parallel Optimality Theory refers to prominent positions in the output. This squib explores the predictions of a new class of constraints that refer to prominent positions in the input. We show that input ...,2025,Linguistic Inquiry,0,0,10.1162/ling.a.56,https://doi.org/10.1162/ling.a.56,crossref,Peter Jurgec|Yixin Wang,0.25,kw:title:faithfulness,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
The Faithfulness of Self-Realisation,,2026,,0,0,10.4324/9781003670049,https://doi.org/10.4324/9781003670049,crossref,Jaimee van Gemerden,0.25,kw:title:faithfulness,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
God’s Faithfulness (6:9–20),,2025,Hebrews A Social Identity Commentary,0,0,10.5040/9780567696052.ch-012,https://doi.org/10.5040/9780567696052.ch-012,crossref,,0.25,kw:title:faithfulness,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
