title,abstract_snippet,year,venue,citations,influential_citations,doi,url,sources,authors,relevance_score,matched_keywords,reason_included
Generalization or Memorization: Data Contamination and Trustworthy Evaluation for Large Language Models,"Recent statements about the impressive capabilities of large language models (LLMs) are usually supported by evaluating on open-access benchmarks. Considering the vast size and wide-ranging sources of LLMs' training data, it could explicitl...",2024,Annual Meeting of the Association for Computational Linguistics,151,9,10.48550/arXiv.2402.15938,https://doi.org/10.48550/arXiv.2402.15938,semantic_scholar,Yihong Dong|Xue Jiang|Huanyu Liu|Zhi Jin|Ge Li,0.625,primary:title:data contamination|syn:title:memorization,matched 2 term(s); primary_in_title_or_abstract=True; raw_score=5.0
Reasoning or Memorization? Unreliable Results of Reinforcement Learning Due to Data Contamination,"Reasoning in large language models has long been a central research focus, and recent studies employing reinforcement learning (RL) have introduced diverse methods that yield substantial performance gains with minimal or even no external su...",2025,AAAI Conference on Artificial Intelligence,67,6,10.48550/arXiv.2507.10532,https://doi.org/10.48550/arXiv.2507.10532,semantic_scholar,Mingqi Wu|Zhihao Zhang|Qiaole Dong|Zhiheng Xi|Jun Zhao|Senjie Jin|Xiaoran Fan|Yuhao Zhou|Ming Zhang|Yanwei Fu|Qin Liu|Songyang Zhang|Qi Zhang,0.625,primary:title:data contamination|syn:title:memorization,matched 2 term(s); primary_in_title_or_abstract=True; raw_score=5.0
Data Contamination or Genuine Generalization? Disentangling LLM Performance on Benchmarks,"Large language models (LLMs) achieve high benchmark performance, but whether this stems from genuine generalization or data contamination remains unclear. This paper proposes a three-tier framework to disentangle these effects, combining n-...",2025,Academic Journal of Natural Science,1,0,10.70393/616a6e73.323836,https://doi.org/10.70393/616a6e73.323836,semantic_scholar,Yui Ishikawa,0.6,primary:title:data contamination|syn:abstract:memorization|syn:abstract:n-gram overlap,matched 3 term(s); primary_in_title_or_abstract=True; raw_score=4.8
Data Contamination Quiz: A Tool to Detect and Estimate Contamination in Large Language Models,"<jats:title>Abstract</jats:title> <jats:p>We propose the Data Contamination Quiz (DCQ), a simple and effective approach to detect data contamination in large language models (LLMs) and estimate the amount of it. Specifically, we frame data ...",2025,Transactions of the Association for Computational Linguistics,7,0,10.1162/tacl.a.20,https://doi.org/10.1162/tacl.a.20,crossref,Shahriar Golchin|Mihai Surdeanu,0.55,primary:title:data contamination|syn:abstract:memorization,matched 2 term(s); primary_in_title_or_abstract=True; raw_score=4.4
Detecting Data Contamination in LLMs via In-Context Learning,"We present Contamination Detection via Context (CoDeC), a practical and accurate method to detect and quantify training data contamination in large language models. CoDeC distinguishes between data memorized during training and data outside...",2025,arXiv.org,2,0,10.48550/arXiv.2510.27055,https://doi.org/10.48550/arXiv.2510.27055,semantic_scholar,Michał Zawalski|Meriem Boubdir|Klaudia Balazy|Besmira Nushi|Pablo Ribalta,0.55,primary:title:data contamination|syn:abstract:memorization,matched 2 term(s); primary_in_title_or_abstract=True; raw_score=4.4
NLP Evaluation in trouble: On the Need to Measure LLM Data Contamination for each Benchmark,"In this position paper, we argue that the classical evaluation on Natural Language Processing (NLP) tasks using annotated benchmarks is in trouble. The worst kind of data contamination happens when a Large Language Model (LLM) is trained on...",2023,Conference on Empirical Methods in Natural Language Processing,316,9,10.48550/arXiv.2310.18018,https://doi.org/10.48550/arXiv.2310.18018,semantic_scholar,Oscar Sainz|Jon Ander Campos|Iker García-Ferrero|Julen Etxaniz|Oier López de Lacalle|Eneko Agirre,0.5,primary:title:data contamination,matched 1 term(s); primary_in_title_or_abstract=True; raw_score=4.0
"Leak, Cheat, Repeat: Data Contamination and Evaluation Malpractices in Closed-Source LLMs","Natural Language Processing (NLP) research is increasingly focusing on the use of Large Language Models (LLMs), with some of the most popular ones being either fully or partially closed-source. The lack of access to model details, especiall...",2024,Conference of the European Chapter of the Association for Computational Linguistics,306,11,10.48550/arXiv.2402.03927,https://doi.org/10.48550/arXiv.2402.03927,semantic_scholar,Simone Balloccu|Patrícia Schmidtová|Mateusz Lango|Ondrej Dusek,0.5,primary:title:data contamination,matched 1 term(s); primary_in_title_or_abstract=True; raw_score=4.0
Benchmark Data Contamination of Large Language Models: A Survey,"The rapid development of Large Language Models (LLMs) like GPT-4, Claude-3, and Gemini has transformed the field of natural language processing. However, it has also resulted in a significant issue known as Benchmark Data Contamination (BDC...",2024,arXiv.org,106,3,10.48550/arXiv.2406.04244,https://doi.org/10.48550/arXiv.2406.04244,semantic_scholar,Cheng Xu|Shuhao Guan|Derek Greene|Mohand-Tahar Kechadi,0.5,primary:title:data contamination,matched 1 term(s); primary_in_title_or_abstract=True; raw_score=4.0
Investigating Data Contamination for Pre-training Language Models,"Language models pre-trained on web-scale corpora demonstrate impressive capabilities on diverse downstream tasks. However, there is increasing concern whether such capabilities might arise from evaluation datasets being included in the pre-...",2024,arXiv.org,100,5,10.48550/arXiv.2401.06059,https://doi.org/10.48550/arXiv.2401.06059,semantic_scholar,Minhao Jiang|Ken Ziyu Liu|Ming Zhong|Rylan Schaeffer|Siru Ouyang|Jiawei Han|Sanmi Koyejo,0.5,primary:title:data contamination,matched 1 term(s); primary_in_title_or_abstract=True; raw_score=4.0
AntiLeak-Bench: Preventing Data Contamination by Automatically Constructing Benchmarks with Updated Real-World Knowledge,"Data contamination hinders fair LLM evaluation by introducing test data into newer models' training sets. Existing studies solve this challenge by updating benchmarks with newly collected data. However, they fail to guarantee contamination-...",2024,Annual Meeting of the Association for Computational Linguistics,35,1,10.48550/arXiv.2412.13670,https://doi.org/10.48550/arXiv.2412.13670,semantic_scholar,Xiaobao Wu|Liangming Pan|Yuxi Xie|Ruiwen Zhou|Shuai Zhao|Yubo Ma|Mingzhe Du|Rui Mao|A. Luu|William Yang Wang,0.5,primary:title:data contamination,matched 1 term(s); primary_in_title_or_abstract=True; raw_score=4.0
Evading Data Contamination Detection for Language Models is (too) Easy,"Large language models are widespread, with their performance on benchmarks frequently guiding user preferences for one model over another. However, the vast amount of data these models are trained on can inadvertently lead to contamination ...",2024,arXiv.org,31,3,10.48550/arXiv.2402.02823,https://doi.org/10.48550/arXiv.2402.02823,semantic_scholar,Jasper Dekoninck|M. Muller|Maximilian Baader|Marc Fischer|Martin T. Vechev,0.5,primary:title:data contamination,matched 1 term(s); primary_in_title_or_abstract=True; raw_score=4.0
Evaluation data contamination in LLMs: how do we measure it and (when) does it matter?,"Hampering the interpretation of benchmark scores, evaluation data contamination has become a growing concern in the evaluation of LLMs, and an active area of research studies its effects. While evaluation data contamination is easily unders...",2024,arXiv.org,28,0,10.48550/arXiv.2411.03923,https://doi.org/10.48550/arXiv.2411.03923,semantic_scholar,Aaditya K. Singh|Muhammed Yusuf Kocyigit|Andrew Poulton|David Esiobu|Maria Lomeli|Gergely Szilvasy|Dieuwke Hupkes,0.5,primary:title:data contamination,matched 1 term(s); primary_in_title_or_abstract=True; raw_score=4.0
Recent Advances in Large Langauge Model Benchmarks against Data Contamination: From Static to Dynamic Evaluation,"Data contamination has received increasing attention in the era of large language models (LLMs) due to their reliance on vast Internet-derived training corpora. To mitigate the risk of potential data contamination, LLM benchmarking has unde...",2025,arXiv.org,27,6,10.48550/arXiv.2502.17521,https://doi.org/10.48550/arXiv.2502.17521,semantic_scholar,Simin Chen|Yiming Chen|Zexin Li|Yifan Jiang|Zhongwei Wan|Yixin He|Dezhi Ran|Tianle Gu|Haizhou Li|Tao Xie|Baishakhi Ray,0.5,primary:title:data contamination,matched 1 term(s); primary_in_title_or_abstract=True; raw_score=4.0
Data Contamination Calibration for Black-box LLMs,"The rapid advancements of Large Language Models (LLMs) tightly associate with the expansion of the training data size. However, the unchecked ultra-large-scale training sets introduce a series of potential risks like data contamination, i.e...",2024,Annual Meeting of the Association for Computational Linguistics,25,5,10.48550/arXiv.2405.11930,https://doi.org/10.48550/arXiv.2405.11930,semantic_scholar,Wen-song Ye|Jiaqi Hu|Liyao Li|Haobo Wang|Gang Chen|Junbo Zhao,0.5,primary:title:data contamination,matched 1 term(s); primary_in_title_or_abstract=True; raw_score=4.0
A Survey on Data Contamination for Large Language Models,"Recent advancements in Large Language Models (LLMs) have demonstrated significant progress in various areas, such as text generation and code synthesis. However, the reliability of performance evaluation has come under scrutiny due to data ...",2025,arXiv.org,23,1,10.48550/arXiv.2502.14425,https://doi.org/10.48550/arXiv.2502.14425,semantic_scholar,Yu Cheng|Yi Chang|Yuan Wu,0.5,primary:title:data contamination,matched 1 term(s); primary_in_title_or_abstract=True; raw_score=4.0
Dynamic Benchmarking of Reasoning Capabilities in Code Large Language Models Under Data Contamination,"The rapid evolution of code largelanguage models underscores the need for effective and transparent benchmarking of their reasoning capabilities. However, the current benchmarking approach heavily depends on publicly available, human-create...",2025,International Conference on Machine Learning,22,0,10.48550/arXiv.2503.04149,https://doi.org/10.48550/arXiv.2503.04149,semantic_scholar,Simin Chen|Pranav Pusarla|Baishakhi Ray,0.5,primary:title:data contamination,matched 1 term(s); primary_in_title_or_abstract=True; raw_score=4.0
Benchmarking Large Language Models Under Data Contamination: A Survey from Static to Dynamic Evaluation,",",2025,Conference on Empirical Methods in Natural Language Processing,14,1,10.18653/v1/2025.emnlp-main.511,https://doi.org/10.18653/v1/2025.emnlp-main.511,semantic_scholar,Simin Chen|Yiming Chen|Zexin Li|Yifan Jiang|Zhongwei Wan|Yixin He|Dezhi Ran|Tianle Gu|Haizhou Li|Tao Xie|Baishakhi Ray,0.5,primary:title:data contamination,matched 1 term(s); primary_in_title_or_abstract=True; raw_score=4.0
VeriContaminated: Assessing LLM-Driven Verilog Coding for Data Contamination,"Large Language Models (LLMs) have revolutionized code generation, achieving exceptional results on various established benchmarking frameworks. However, concerns about data contamination—where benchmark data inadvertently leaks into pre-tra...",2025,2025 IEEE International Conference on LLM-Aided Design (ICLAD),12,0,10.1109/ICLAD65226.2025.00017,https://doi.org/10.1109/ICLAD65226.2025.00017,semantic_scholar,Zeng Wang|Minghao Shao|Jitendra Bhandari|Likhitha Mankali|Ramesh Karri|Ozgur Sinanoglu|Muhammad Shafique|J. Knechtel,0.5,primary:title:data contamination,matched 1 term(s); primary_in_title_or_abstract=True; raw_score=4.0
Overestimation in LLM Evaluation: A Controlled Large-Scale Study on Data Contamination's Impact on Machine Translation,"Data contamination -- the accidental consumption of evaluation examples within the pre-training data -- can undermine the validity of evaluation benchmarks. In this paper, we present a rigorous analysis of the effects of contamination on la...",2025,International Conference on Machine Learning,12,0,10.48550/arXiv.2501.18771,https://doi.org/10.48550/arXiv.2501.18771,semantic_scholar,Muhammed Yusuf Kocyigit|Eleftheria Briakou|Daniel Deutsch|Jiaming Luo|Colin Cherry|Markus Freitag,0.5,primary:title:data contamination,matched 1 term(s); primary_in_title_or_abstract=True; raw_score=4.0
Search-Time Data Contamination,"Data contamination refers to the leakage of evaluation data into model training data, resulting in overfitting to supposedly held-out test sets and compromising test validity. We identify an analogous issue, search-time contamination (STC),...",2025,arXiv.org,10,2,10.48550/arXiv.2508.13180,https://doi.org/10.48550/arXiv.2508.13180,semantic_scholar,Ziwen Han|Meher Mankikar|Julian Michael|Zifan Wang,0.5,primary:title:data contamination,matched 1 term(s); primary_in_title_or_abstract=True; raw_score=4.0
The Emperor's New Clothes in Benchmarking? A Rigorous Examination of Mitigation Strategies for LLM Benchmark Data Contamination,"Benchmark Data Contamination (BDC)-the inclusion of benchmark testing samples in the training set-has raised increasing concerns in Large Language Model (LLM) evaluation, leading to falsely inflated performance estimates and undermining eva...",2025,International Conference on Machine Learning,9,1,10.48550/arXiv.2503.16402,https://doi.org/10.48550/arXiv.2503.16402,semantic_scholar,Yifan Sun|Hanru Wang|Dongbai Li|Ganghui Wang|Huan Zhang,0.5,primary:title:data contamination,matched 1 term(s); primary_in_title_or_abstract=True; raw_score=4.0
"Beyond Next Token Probabilities: Learnable, Fast Detection of Hallucinations and Data Contamination on LLM Output Distributions",The automated detection of hallucinations and training data contamination is pivotal to the safe deployment of Large Language Models (LLMs). These tasks are particularly challenging in settings where no access to model internals is availabl...,2025,AAAI Conference on Artificial Intelligence,7,0,10.1609/aaai.v40i36.40254,https://doi.org/10.1609/aaai.v40i36.40254,semantic_scholar,Guy Bar-Shalom|Fabrizio Frasca|D. Lim|Yoav Gelberg|Yftah Ziser|Ran El-Yaniv|Gal Chechik|Haggai Maron,0.5,primary:title:data contamination,matched 1 term(s); primary_in_title_or_abstract=True; raw_score=4.0
DCR: Quantifying Data Contamination in LLMs Evaluation,"The rapid advancement of large language models (LLMs) has heightened concerns about benchmark data contamination (BDC), where models inadvertently memorize evaluation data during the training process, inflating performance metrics, and unde...",2025,Conference on Empirical Methods in Natural Language Processing,7,0,10.48550/arXiv.2507.11405,https://doi.org/10.48550/arXiv.2507.11405,semantic_scholar,Cheng Xu|Nan Yan|Shuhao Guan|Changhong Jin|Yuke Mei|Yi Guo|Mohand-Tahar Kechadi,0.5,primary:title:data contamination,matched 1 term(s); primary_in_title_or_abstract=True; raw_score=4.0
Detecting Data Contamination from Reinforcement Learning Post-training for Large Language Models,"Data contamination poses a significant threat to the reliable evaluation of Large Language Models (LLMs). This issue arises when benchmark samples may inadvertently appear in training sets, compromising the validity of reported performance....",2025,arXiv.org,3,1,10.48550/arXiv.2510.09259,https://doi.org/10.48550/arXiv.2510.09259,semantic_scholar,Yongding Tao|Tian Wang|Yihong Dong|Huanyu Liu|Kechi Zhang|Xiaolong Hu|Ge Li,0.5,primary:title:data contamination,matched 1 term(s); primary_in_title_or_abstract=True; raw_score=4.0
A Taxonomy for Data Contamination in Large Language Models,,2024,Proceedings of the 1st Workshop on Data Contamination (CONDA),2,0,10.18653/v1/2024.conda-1.3,https://doi.org/10.18653/v1/2024.conda-1.3,crossref,Medha Palavalli|Amanda Bertsch|Matthew Gormley,0.5,primary:title:data contamination,matched 1 term(s); primary_in_title_or_abstract=True; raw_score=4.0
Confounders in Instance Variation for the Analysis of Data Contamination,,2024,Proceedings of the 1st Workshop on Data Contamination (CONDA),2,0,10.18653/v1/2024.conda-1.2,https://doi.org/10.18653/v1/2024.conda-1.2,crossref,Behzad Mehrbakhsh|Dario Garigliotti|Fernando Martínez-Plumed|Jose Hernandez-Orallo,0.5,primary:title:data contamination,matched 1 term(s); primary_in_title_or_abstract=True; raw_score=4.0
Analysis of Semantic Benchmark Data Contamination Attack for LLM-Driven Fake News Detection,"Large Language Model (LLM) benchmarks are critical for measuring progress, but their integrity is at risk due to data contamination, which can be maliciously used to inflate performance. This paper assesses the effectiveness of semantic-lev...",2025,BigData Congress [Services Society],1,0,10.1109/BigData66926.2025.11402039,https://doi.org/10.1109/BigData66926.2025.11402039,semantic_scholar,Cheng Xu|Mohand-Tahar Kechadi,0.5,primary:title:data contamination,matched 1 term(s); primary_in_title_or_abstract=True; raw_score=4.0
Proceedings of the 1st Workshop on Data Contamination (CONDA),,2024,,0,0,10.18653/v1/2024.conda-1,https://doi.org/10.18653/v1/2024.conda-1,crossref,,0.5,primary:title:data contamination,matched 1 term(s); primary_in_title_or_abstract=True; raw_score=4.0
Data Contamination in AI Evaluation (Preprint),<sec> <title>UNSTRUCTURED</title> <p>-</p> </sec>,2025,,0,0,10.2196/preprints.80987,https://doi.org/10.2196/preprints.80987,crossref,Alaeddin Acar,0.5,primary:title:data contamination,matched 1 term(s); primary_in_title_or_abstract=True; raw_score=4.0
Density Deconvolution with Limited Data Contamination,,2024,SSRN Electronic Journal,0,0,10.2139/ssrn.4916179,https://doi.org/10.2139/ssrn.4916179,crossref,Jerome Krief,0.5,primary:title:data contamination,matched 1 term(s); primary_in_title_or_abstract=True; raw_score=4.0
Data Contamination in AI Evaluation,<jats:p/>,2025,JMIR Medical Informatics,0,0,10.2196/80987,https://doi.org/10.2196/80987,crossref,Alaeddin Acar,0.5,primary:title:data contamination,matched 1 term(s); primary_in_title_or_abstract=True; raw_score=4.0
Data Contamination in LLMs: A Scoping Literature Review,,2025,,0,0,10.37766/inplasy2025.11.0050,https://doi.org/10.37766/inplasy2025.11.0050,crossref,Mihai-Cristian Tudose|Ruseti Stefan|Mihai Dascalu|Cornelia Caragea,0.5,primary:title:data contamination,matched 1 term(s); primary_in_title_or_abstract=True; raw_score=4.0
Fully Unsupervised Anomaly Detection in Industrial Images with Unknown Data Contamination,,2025,2025 IEEE Swiss Conference on Data Science (SDS),0,0,10.1109/sds66131.2025.00013,https://doi.org/10.1109/sds66131.2025.00013,crossref,Matthias Wüest|Lilach Goren Huber,0.5,primary:title:data contamination,matched 1 term(s); primary_in_title_or_abstract=True; raw_score=4.0
Interpretable Biomedical QA: Customizing Models for PubMedQA with Knowledge Distillation and XAI,,2025,"2025 International Conference on Electronics and Computing, Communication Networking Automation Technologies (ICEC2NT)",0,0,10.1109/icec2nt65402.2025.11380163,https://doi.org/10.1109/icec2nt65402.2025.11380163,crossref,Sanjeev Malik|Nikita Singhal,0.5,kw:title:medqa|kw:title:pubmedqa,matched 2 term(s); primary_in_title_or_abstract=False; raw_score=4.0
Balancing Binary Biomedical QA: Parameter-Efficient Instruction Tuning on BioASQ and PubMedQA,,2026,"2026 5th International Conference on Electrical, Computer &amp;amp; Telecommunication Engineering (ICECTE)",0,0,10.1109/icecte69292.2026.11429214,https://doi.org/10.1109/icecte69292.2026.11429214,crossref,Tamal Kumar Sarker|Khandakar Jahidul Islam|Utpaul Sarker,0.5,kw:title:medqa|kw:title:pubmedqa,matched 2 term(s); primary_in_title_or_abstract=False; raw_score=4.0
Information Reasoning and Question Answering in Healthcare: A PubMedQA Benchmark Study,,2025,2025 IEEE/ACS 22nd International Conference on Computer Systems and Applications (AICCSA),0,0,10.1109/aiccsa66935.2025.11315481,https://doi.org/10.1109/aiccsa66935.2025.11315481,crossref,Dina Sayed|Heiko Schuldt,0.5,kw:title:medqa|kw:title:pubmedqa,matched 2 term(s); primary_in_title_or_abstract=False; raw_score=4.0
Toward expert-level medical question answering with large language models,"Large language models (LLMs) have shown promise in medical question answering, with Med-PaLM being the first to exceed a ‘passing’ score in United States Medical Licensing Examination style questions. However, challenges remain in long-form...",2025,Nature Medicine,841,48,10.1038/s41591-024-03423-7,https://doi.org/10.1038/s41591-024-03423-7,semantic_scholar,Karan Singhal|Tao Tu|Juraj Gottweis|R. Sayres|Ellery Wulczyn|Mohamed Amin|Le Hou|Kevin Clark|Stephen R. Pfohl|Heather Cole-Lewis|Darlene Neal|Q. Rashid|Mike Schaekermann|Amy Wang|D. Dash|Jonathan H. Chen|Nigam H. Shah|Sami Lachgar|P. Mansfield|Sushant Prakash|Bradley Green|Ewa Dominowska|Blaise Agüe,0.3,kw:abstract:medqa|kw:abstract:pubmedqa|kw:abstract:mmlu clinical,matched 3 term(s); primary_in_title_or_abstract=False; raw_score=2.4
Towards Expert-Level Medical Question Answering with Large Language Models,"Recent artificial intelligence (AI) systems have reached milestones in""grand challenges""ranging from Go to protein-folding. The capability to retrieve medical knowledge, reason over it, and answer medical questions comparably to physicians ...",2023,arXiv.org,754,66,10.48550/arXiv.2305.09617,https://doi.org/10.48550/arXiv.2305.09617,semantic_scholar,K. Singhal|Tao Tu|Juraj Gottweis|R. Sayres|Ellery Wulczyn|Le Hou|Kevin Clark|S. Pfohl|H. Cole-Lewis|Darlene Neal|Mike Schaekermann|Amy Wang|Mohamed Amin|S. Lachgar|P. A. Mansfield|Sushant Prakash|Bradley Green|Ewa Dominowska|B. A. Y. Arcas|Nenad Tomašev|Yun Liu|Renee C Wong|Christopher Semturs|S. S.,0.3,kw:abstract:medqa|kw:abstract:pubmedqa|kw:abstract:mmlu clinical,matched 3 term(s); primary_in_title_or_abstract=False; raw_score=2.4
LLM-MedQA: Enhancing Medical Question Answering through Case Studies in Large Language Models,"Accurate and efficient question-answering systems are essential for high-quality patient care in the medical field. While Large Language Models (LLMs) have made remarkable strides across various domains, they still face challenges in medica...",2024,IEEE International Joint Conference on Neural Network,35,4,10.1109/IJCNN64981.2025.11228647,https://doi.org/10.1109/IJCNN64981.2025.11228647,semantic_scholar|crossref,Hang Yang|Hao Chen|Hui Guo|Yineng Chen|Chingsheng Lin|Shuangyan Hu|Jinrong Hu|Xi Wu|Xin Wang,0.25,kw:title:medqa,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
MedQA-CS: Objective Structured Clinical Examination (OSCE)-Style Benchmark for Evaluating LLM Clinical Skills,"Artificial intelligence (AI) and large language models (LLMs) in healthcare require advanced clinical skills (CS), yet current benchmarks fail to evaluate these comprehensively. We introduce MedQA-CS, an AI-SCE framework inspired by medical...",2024,,16,1,10.18653/v1/2026.eacl-long.292,https://doi.org/10.18653/v1/2026.eacl-long.292,semantic_scholar|crossref,Zonghai Yao|Zihao Zhang|Chaolong Tang|Xingyu Bian|Youxia Zhao|Zhichao Yang|Junda Wang|Huixue Zhou|W. Jang|Feiyun Ouyang|Hong Yu,0.25,kw:title:medqa,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
